total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0.2

[-0.04309313892882724, -0.04309313892882724, 0.04430361676344671, 0.09810718805547988, 0.10382037844568501, 0.24163470919127641, 0.009721930426069243, 0.14571324965342775, 0.12071919932231533]
[-0.1289456260480628, -0.1289456260480628, 0.03931820465529049, 0.09715728631168077, 0.0770000444653135, 0.18912035327005433, -0.02597455921093815, 0.11266058974693967, 0.10039455612674204]
[-0.04623972238214918, -0.04623972238214918, 0.042680797920821585, 0.12649501060425486, 0.09623247294714654, 0.2230221145609367, -0.024339456069274377, 0.12339345285461524, 0.0999578602545445]
[-0.02707359112678253, -0.02707359112678253, 0.04348449486026902, 0.12738726193671338, 0.11653110119498605, 0.21842273653951408, -0.0230274783331683, 0.13132118641511545, 0.10535032875250733]
[-0.10578049294684999, -0.10578049294684999, 0.0407027305219855, 0.12738726193671338, 0.07129614576408838, 0.20307459805287717, -0.058555011348659446, 0.1208141818821458, 0.08633876153519379]
[-0.07675953850077019, -0.07675953850077019, 0.0407027305219855, 0.12738726193671338, 0.09746566197292436, 0.20307459805287717, -0.058555011348659446, 0.1208141818821458, 0.08919019977243761]
[-0.047075066546630094, -0.047075066546630094, 0.04222082789094957, 0.12325644856333867, 0.12305383908670357, 0.19497108128406085, -0.06248695850203861, 0.12937700138208044, 0.08473626345120702]
[-0.015557828539506791, -0.015557828539506791, 0.04222082789094957, 0.12325644856333867, 0.1502773673847211, 0.19497108128406085, -0.058193248792932806, 0.13558903767534908, 0.08473626345120702]
[-0.03272945974223843, -0.03272945974223843, 0.04204993226197744, 0.125168634854641, 0.13562177489374921, 0.1872517028152161, -0.06383417101907592, 0.13602726591139647, 0.07973349909037115]
[-0.01832081040704196, -0.01832081040704196, 0.03792435083463974, 0.11713277575699278, 0.1252390982085921, 0.2073681254202415, -0.054787789118578054, 0.1464215069088951, 0.07861262630232929]
[-0.022952068220577413, -0.022952068220577413, 0.03697157093445723, 0.12415823347978483, 0.11374917402360739, 0.206662985986152, -0.05507417466122817, 0.1482897875707673, 0.07695399297055695]
[-0.046941166875080334, -0.046941166875080334, 0.034566680189084965, 0.12157116101077531, 0.10857992193478186, 0.1839693996508705, -0.06503553959838188, 0.1488324260996365, 0.07610877486960586]
[-0.016272262633182336, -0.016272262633182336, 0.034566680189084965, 0.12157116101077531, 0.13525285668991022, 0.1839693996508705, -0.06103957011161226, 0.15505942469349956, 0.0818591695318173]
[-0.10246253926801366, -0.10246253926801366, 0.034566680189084965, 0.11816608521458549, 0.10674204075091755, 0.12918586639678362, -0.08457262598238394, 0.12468826087426246, 0.052698841075155406]
