total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0.3

[-0.0710954428758099, -0.0710954428758099, -0.08304769587538859, -0.12755411403373199, 0.30569159383075845, 0.5765550520200649, -0.23327284120065175, 0.1152792652180375, 0.1853069740258431]
[-0.07431378300531542, -0.07431378300531542, -0.08463202128363807, -0.12797943519268506, 0.30723407984103757, 0.578455778349345, -0.25140468896078216, 0.12791329496802, 0.18254255395098953]
[-0.023968906326147812, -0.023968906326147812, -0.08142269861152392, -0.12797943519268506, 0.30736304639212153, 0.6134990103022858, -0.24822265353311534, 0.12791329496802, 0.18282718205832435]
[0.01120162789617333, 0.01120162789617333, -0.08107180277562982, -0.12797943519268506, 0.30736304639212153, 0.6330359741599965, -0.24270445153007852, 0.1320933635995283, 0.18452390770744345]
[0.044036491836166744, 0.044036491836166744, -0.0806940732278563, -0.12797943519268506, 0.30736304639212153, 0.6567435689606903, -0.242326721982305, 0.1320933635995283, 0.18452390770744345]
[0.050659495904185024, 0.050659495904185024, -0.0806940732278563, -0.12797943519268506, 0.30736304639212153, 0.6633665730287085, -0.24011905395963223, 0.1320933635995283, 0.18452390770744345]
[0.07257368382308328, 0.07257368382308328, -0.07695870913610028, -0.12797943519268506, 0.30736304639212153, 0.6815453968558508, -0.24011905395963223, 0.1320933635995283, 0.18452390770744345]
[0.09605205488679915, 0.09605205488679915, -0.07695870913610028, -0.12797943519268506, 0.30736304639212153, 0.7009950476977925, -0.24010809757303825, 0.13762550165323995, 0.18452390770744345]
[-0.042774026129557274, -0.042774026129557274, -0.12507659763308504, -0.16537010231892388, 0.3013882546916817, 0.6123819679061088, -0.2832387877467941, 0.08654820099254683, 0.1587222281111513]
[-0.07885723011782955, -0.07885723011782955, -0.12458824295774311, -0.16239503824971122, 0.305639992066886, 0.5906994253031036, -0.3032236553276612, 0.08916801718068527, 0.1638692252505518]
[-0.030372528274939997, -0.030372528274939997, -0.12458824295774311, -0.15984841814225892, 0.305639992066886, 0.6239677924653333, -0.3011740344695995, 0.09417729095313541, 0.17151003387678715]
[-8.830066312921249e-05, -8.830066312921249e-05, -0.12185050954354582, -0.15714602492865817, 0.30977112381467437, 0.6462334676873828, -0.3031770763164719, 0.0996605678046085, 0.17640723175434095]
[0.02415256560709095, 0.02415256560709095, -0.12016107832667926, -0.156337825300581, 0.30977112381467437, 0.6644208378063048, -0.3031770763164719, 0.10301110449395591, 0.1762458770059246]
[0.049214311797658596, 0.049214311797658596, -0.11424412880198828, -0.156337825300581, 0.30977112381467437, 0.6819937086200849, -0.30044619474387235, 0.10480550565190169, 0.1762458770059246]
[0.031127854343758112, 0.031127854343758112, -0.11318973534447502, -0.15688983169489445, 0.3105296217784451, 0.6710237631002185, -0.3134456191603732, 0.1006618388356951, 0.16245823432000298]
[0.0608179815408233, 0.0608179815408233, -0.11036411102082368, -0.15637715304027916, 0.3105296217784451, 0.6877613439477432, -0.3101242239244267, 0.11031659160000765, 0.16334803118118899]
[0.026285666465344946, 0.026285666465344946, -0.11265925239293564, -0.15574086559876577, 0.3098355499353315, 0.6664087022838291, -0.32319349293649047, 0.10874513805541408, 0.1569613280666313]
[0.04046819891739213, 0.04046819891739213, -0.11239505568223522, -0.1545342962213908, 0.3098355499353315, 0.6741038427852283, -0.3221681349582868, 0.11112227524933446, 0.1566923782932166]
[-0.02109353629642179, -0.02109353629642179, -0.11239505568223522, -0.1559435349990587, 0.30987001718128526, 0.6381378762018087, -0.34318258906826105, 0.11068855997476408, 0.15489165153316098]
[-0.05757715687134343, -0.05757715687134343, -0.10557129010096822, -0.14645376467542962, 0.31065066296092003, 0.6148646846357874, -0.35584511048949297, 0.11542563919188284, 0.14393538864852665]
[-0.004725636653651859, -0.004725636653651859, -0.10557129010096822, -0.1451614546627179, 0.3191487574984855, 0.6484867334756784, -0.3548477646883306, 0.1314746107509951, 0.14497983713364446]
[-0.0670917685647183, -0.0670917685647183, -0.1062806474931792, -0.1457402215302061, 0.3199027281390402, 0.6176071638332475, -0.37831011389809166, 0.13646862305799076, 0.14865654029137812]
[-0.0713450706950741, -0.0713450706950741, -0.10623796312868944, -0.14298037042287967, 0.3218783870971288, 0.6128903838215003, -0.37939360066271405, 0.13799654198320035, 0.1490718158958679]
[-0.014702881905335658, -0.014702881905335658, -0.10206551119872688, -0.14045648372841174, 0.3218783870971288, 0.6495672640997298, -0.3786139543309043, 0.1565516053428634, 0.15917723654920543]
[-0.033977692739990545, -0.033977692739990545, -0.103573574192829, -0.13762209133573433, 0.32112497734950446, 0.6352746699724535, -0.3782001998898274, 0.17076415287966537, 0.16813230697405487]
[-0.0016263076964590048, -0.0016263076964590048, -0.10328496209940703, -0.13354035412743448, 0.3214353511606878, 0.6562863804334187, -0.3835365731540977, 0.1708264002413414, 0.16813230697405487]
[0.01661329831156112, 0.01661329831156112, -0.10328496209940703, -0.13354035412743448, 0.3214353511606878, 0.6726127783826982, -0.3835365731540977, 0.1708264002413414, 0.16813230697405487]
